brand_title,women_style,women_price,women_segment
Pietro Brunelli,contemporary,low,contemporary_low
Pinko,contemporary,medium,contemporary_medium
Piumestudio,other,other,other
Plan C,contemporary-fashion,high,contemporary-fashion_high
Polo Ralph Lauren,contemporary,medium,contemporary_medium
Ports 1961,classic,high,classic_high
Poupette St Barth,contemporary,medium,contemporary_medium
Premiata,contemporary,medium,contemporary_medium
Pro-Keds,contemporary,medium,contemporary_medium
Quira,contemporary-fashion,high,contemporary-fashion_high
R13,contemporary-fashion,high,contemporary-fashion_high
Rains,contemporary,medium,contemporary_medium
RE.SEA,contemporary,medium,contemporary_medium
Re/Done,contemporary,medium,contemporary_medium
REDVALENTINO,contemporary,medium,contemporary_medium
Ree Projects,contemporary,medium,contemporary_medium
Rene Caovilla,contemporary,high,contemporary_high
Replay,contemporary,medium,contemporary_medium
Rhude,contemporary-fashion,high,contemporary-fashion_high
Rick Owens,contemporary-fashion,high,contemporary-fashion_high
Ritratti Milano,other,other,other
Ritz Paris FRAME,contemporary-fashion,high,contemporary-fashion_high
Roberto Cavalli,contemporary,high,contemporary_high
Rodo,contemporary,medium,contemporary_medium
Roeckl,classic,high,classic_high
Rohe,other,other,other
Rokh,contemporary-fashion,high,contemporary-fashion_high
ROWEN ROSE,contemporary-fashion,high,contemporary-fashion_high
Rubeus Milano,classic,high,classic_high
Rudsak,contemporary,medium,contemporary_medium
Saint Laurent,fashion,high+,fashion_high+
Saloni,contemporary,medium,contemporary_medium
Salvatore Ferragamo,contemporary-fashion,high+,contemporary-fashion_high+
Sans-Arcidet,contemporary,medium,contemporary_medium
Santoni,contemporary,high+,contemporary_high+
sara roka,contemporary,medium,contemporary_medium
SASUPHI,contemporary-fashion,high,contemporary-fashion_high
Sea Level,contemporary,medium,contemporary_medium
Sea NY,other,other,other
See by Chloé,other,other,other
self-portrait,contemporary,high,contemporary_high
Sergio Rossi,contemporary,high+,contemporary_high+
Seventy Venezia,contemporary,medium,contemporary_medium
Simonetta Ravizza,classic,high,classic_high
SLVRLAKE,contemporary,medium,contemporary_medium
Sonia by Sonia Rykiel,other,other,other
Sonora Boots,contemporary,high,contemporary_high
Sporty&Rich,contemporary-fashion,medium,contemporary-fashion_medium
Ssheena,contemporary-fashion,high,contemporary-fashion_high
SSIL,contemporary,high,contemporary_high
Stella McCartney,contemporary-fashion,high,contemporary-fashion_high
Swarovski,contemporary,medium,contemporary_medium
Tagliatore 0205,contemporary,high,contemporary_high
TEREKHOV x TSUM,classic,high,classic_high
The Andamane,contemporary,high,contemporary_high
The Attico,contemporary-fashion,high,contemporary-fashion_high
The Kooples,contemporary,medium,contemporary_medium
THE MANNEI,contemporary-fashion,high,contemporary-fashion_high
The New Arrivals Ilkyaz Ozel,contemporary,high,contemporary_high
The Row,fashion,high+,fashion_high+
Theory,classic,high,classic_high
Tod’s,classic,high,classic_high
Tohum,contemporary-fashion,high,contemporary-fashion_high
Tom Ford,contemporary,high+,contemporary_high+
Tory Burch,contemporary,medium,contemporary_medium
TOTEME,contemporary,high,contemporary_high
Trussardi,other,other,other
Twinset,contemporary,medium,contemporary_medium
UGG,contemporary-fashion,medium,contemporary-fashion_medium
Uma Wang,contemporary-fashion,high,contemporary-fashion_high
UNDRESS CODE,contemporary,medium,contemporary_medium
Valentino,classic,high+,classic_high+
Veja,contemporary,medium,contemporary_medium
Venera Arapu,contemporary,medium,contemporary_medium
Versace,contemporary,high+,contemporary_high+
Versace Jeans Couture,contemporary,medium,contemporary_medium
VETEMENTS,contemporary-fashion,high,contemporary-fashion_high
Vic Matie,contemporary,medium,contemporary_medium
Vivetta,contemporary-fashion,high,contemporary-fashion_high
VTMNTS,contemporary-fashion,medium,contemporary-fashion_medium
Wandler,contemporary,medium,contemporary_medium
We11done,contemporary,high,contemporary_high
Weill,contemporary,high,contemporary_high
William Sharp,classic,high,classic_high
Windsor,classic,high,classic_high
Wolford,contemporary,medium,contemporary_medium
Woolrich,contemporary,medium,contemporary_medium
Y-3,contemporary,medium,contemporary_medium
Yuzefi,contemporary,medium,contemporary_medium
Yves Salomon,contemporary,high,contemporary_high
Zadig&Voltaire,contemporary,medium,contemporary_medium
Zeynep Arcay,contemporary,high,contemporary_high
Zimmerli,contemporary,medium,contemporary_medium
Zimmermann,contemporary,high,contemporary_high
Zuhair Murad,classic,high+,classic_high+
