brand_title,men_style,men_price,men_segment
Nuti & Co,classic,high,classic_high
Off-White,contemporary,high,contemporary_high
Officine Creative,other,other,other
Paige,contemporary,high,contemporary_high
Pal Zileri,classic,high,classic_high
Palm Angels,contemporary,high,contemporary_high
Pantanetti,classic,high,classic_high
Parajumpers,contemporary,medium,contemporary_medium
Paul&Shark,contemporary,medium,contemporary_medium
Pence,contemporary,medium,contemporary_medium
Pharmacy Industry,contemporary,medium,contemporary_medium
Piacenza Cashmere 1733,classic,high,classic_high
Pineider Firenze 1774,classic,high,classic_high
Piumestudio,other,other,other
Polo Ralph Lauren,contemporary,medium,contemporary_medium
Premiata,contemporary,medium,contemporary_medium
Pro-Keds,contemporary,medium,contemporary_medium
PT Torino,contemporary,high,contemporary_high
Puma,contemporary,medium,contemporary_medium
R13,contemporary-fashion,high,contemporary-fashion_high
Religion,contemporary,medium,contemporary_medium
Replay,contemporary,medium,contemporary_medium
RH45,other,other,other
Rhude,contemporary-fashion,high,contemporary-fashion_high
Richard J. Brown,contemporary,high,contemporary_high
Rick Owens,contemporary-fashion,high,contemporary-fashion_high
Roadless,contemporary,high,contemporary_high
Roberto Cavalli,contemporary,high,contemporary_high
Roberto Ricetti,contemporary,low,contemporary_low
Roeckl,classic,high,classic_high
Rohe,contemporary-fashion,high,contemporary-fashion_high
RTA,contemporary,high,contemporary_high
Rubeus Milano,classic,high,classic_high
Rudsak,contemporary,medium,contemporary_medium
Saint Laurent,fashion,high+,fashion_high+
Salvatore Ferragamo,classic,high+,classic_high+
Santoni,classic,high,classic_high
Sartoria Latorre,contemporary,high,contemporary_high
Sartorio,classic,high,classic_high
Sease,contemporary,high+,contemporary_high+
Seboy`s,contemporary,high,contemporary_high
Seetees,contemporary,medium,contemporary_medium
Sergio Rossi,fashion,high+,fashion_high+
Slowear,classic,high,classic_high
Sonrisa,classic,high,classic_high
Sporty&Rich,contemporary-fashion,medium,contemporary-fashion_medium
Stefano Ricci,contemporary,high+,contemporary_high+
Stone Island,contemporary,high,contemporary_high
Svevo,contemporary,low,contemporary_low
Tateossian,contemporary,high+,contemporary_high+
Tatras,other,other,other
Tee Library,contemporary,medium,contemporary_medium
Ten C,contemporary-fashion,high,contemporary-fashion_high
The-Antipode,contemporary-fashion,high,contemporary-fashion_high
Theory,classic,high,classic_high
Thom Krom,contemporary-fashion,medium,contemporary-fashion_medium
Tod’s,classic,high,classic_high
Tom Ford,contemporary,high+,contemporary_high+
TR Handschuhe,other,other,other
Transit,contemporary,medium,contemporary_medium
Trussardi,contemporary,medium,contemporary_medium
UGG,contemporary-fashion,medium,contemporary-fashion_medium
Valentino,fashion,high+,fashion_high+
Van Laack,classic,high,classic_high
Veja,contemporary,medium,contemporary_medium
Versace,contemporary-fashion,high+,contemporary-fashion_high+
Versace Jeans Couture,contemporary,medium,contemporary_medium
VETEMENTS,contemporary-fashion,high,contemporary-fashion_high
Vic Matie,contemporary,medium,contemporary_medium
Vilebrequin,contemporary,medium,contemporary_medium
VTMNTS,contemporary-fashion,medium,contemporary-fashion_medium
W.Gibbs,classic,high,classic_high
Waterville,contemporary,medium,contemporary_medium
We11done,contemporary,high,contemporary_high
White Sand,contemporary,medium,contemporary_medium
Windsor,classic,high,classic_high
Woolrich,classic,high,classic_high
Y-3,contemporary-fashion,medium,contemporary-fashion_medium
Yves Salomon,contemporary,high,contemporary_high
Zegna,contemporary,high+,contemporary_high+
Zilli,classic,high+,classic_high+
Zimmerli,contemporary,medium,contemporary_medium
